Year,Player,team,teamId,Season,games,Champion,key,Win,lose,kills,assists,deaths,killsC,assistsC,deathsC,killsJ,assistsJ,deathsJ,kda,kdaC,ban,Avg BT,wR,Presence
2021,Wunder,G2,Blue,Spring,8,Karma,43,4.0,4.0,2.0,7.0,1.0,7.0,57.0,11.0,44.0,133.0,54.0,3.2777777777777777,5.818181818181818,1.0,,0.5,9.183673469387756
2021,Kaiser,MAD,Blue,Summer,9,Trundle,48,6.0,3.0,1.0,4.0,4.0,25.0,72.0,20.0,13.0,170.0,54.0,3.388888888888889,4.85,0.0,3.0,0.6666666666666666,9.183673469387756
2021,Jesiz,SK,Blue,Summer,8,Karma,43,4.0,4.0,0.0,8.0,2.0,7.0,57.0,11.0,3.0,23.0,20.0,1.3,5.818181818181818,1.0,6.0,0.5,9.183673469387756
2021,Zanzarah,AST,Blue,Summer,9,Trundle,48,6.0,3.0,1.0,12.0,3.0,25.0,72.0,20.0,40.0,127.0,63.0,2.6507936507936507,4.85,0.0,,0.6666666666666666,9.183673469387756
2021,Kaiser,MAD,Red,Summer,8,Karma,43,4.0,4.0,0.0,11.0,2.0,7.0,57.0,11.0,13.0,170.0,54.0,3.388888888888889,5.818181818181818,1.0,6.0,0.5,9.183673469387756
2021,BrokenBlade,S04,Blue,Spring,8,Karma,43,4.0,4.0,1.0,9.0,1.0,7.0,57.0,11.0,41.0,83.0,42.0,2.9523809523809526,5.818181818181818,1.0,4.0,0.5,9.183673469387756
2021,Kirei,S04,Red,Summer,9,Trundle,48,6.0,3.0,5.0,4.0,4.0,25.0,72.0,20.0,31.0,67.0,68.0,1.4411764705882353,4.85,0.0,2.0,0.6666666666666666,9.183673469387756
2021,Zanzarah,AST,Blue,Summer,9,Trundle,48,6.0,3.0,6.0,5.0,0.0,25.0,72.0,20.0,40.0,127.0,63.0,2.6507936507936507,4.85,0.0,1.0,0.6666666666666666,9.183673469387756
2021,Wunder,G2,Blue,Summer,8,Karma,43,4.0,4.0,0.0,1.0,2.0,7.0,57.0,11.0,45.0,97.0,49.0,2.8979591836734695,5.818181818181818,1.0,4.0,0.5,9.183673469387756
2021,Armut,MAD,Blue,Summer,8,Karma,43,4.0,4.0,1.0,6.0,2.0,7.0,57.0,11.0,51.0,106.0,55.0,2.8545454545454545,5.818181818181818,1.0,6.0,0.5,9.183673469387756
2021,Vander,MSF,Red,Spring,8,Karma,43,4.0,4.0,2.0,8.0,1.0,7.0,57.0,11.0,17.0,159.0,59.0,2.983050847457627,5.818181818181818,1.0,,0.5,9.183673469387756
2021,Odoamne,RGE,Blue,Summer,9,Kennen,85,6.0,3.0,5.0,8.0,5.0,23.0,46.0,18.0,51.0,104.0,39.0,3.9743589743589745,3.8333333333333335,0.0,3.0,0.6666666666666666,9.183673469387756
2021,Odoamne,RGE,Red,Summer,9,Kennen,85,6.0,3.0,3.0,5.0,2.0,23.0,46.0,18.0,51.0,104.0,39.0,3.9743589743589745,3.8333333333333335,0.0,3.0,0.6666666666666666,9.183673469387756
2021,Odoamne,RGE,Blue,Summer,9,Kennen,85,6.0,3.0,6.0,3.0,3.0,23.0,46.0,18.0,51.0,104.0,39.0,3.9743589743589745,3.8333333333333335,0.0,1.0,0.6666666666666666,9.183673469387756
2021,Zanzarah,AST,Blue,Summer,9,Trundle,48,6.0,3.0,1.0,12.0,2.0,25.0,72.0,20.0,40.0,127.0,63.0,2.6507936507936507,4.85,0.0,,0.6666666666666666,9.183673469387756
