Season,Split,Week,Blue,Red,WinnerT,Patch,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,BPPlayer1,BP1,BPPlayer2,BP2,BPPlayer3,BP3,BPPlayer4,BP4,BPPlayer5,BP5,RPPlayer1,RP1,RPPlayer2,RP2,RPPlayer3,RP3,RPPlayer4,RP4,RPPlayer5,RP5
2023,Spring,Week 3,⁠⁠KOI,⁠⁠XL,⁠⁠KOI,13.4,Draven,Xayah,Jayce,KSante,Tristana,Rakan,Caitlyn,Annie,XinZhao,Sejuani,Szygenda,Gnar,Malrang,Vi,Larssen,Azir,Comp,Zeri,Trymbi,Lulu,Odoamne,Malphite,Xerxe,MonkeyKing,Abbedagge,Gragas,Patrik,Lucian,LIMIT,Nami
2023,Spring,Week 3,⁠⁠VIT,⁠⁠BDS,⁠⁠BDS,13.4,Varus,Sejuani,Vi,Darius,Sion,Annie,Xayah,Heimerdinger,Jayce,Jax,Photon,Renekton,Bo,LeeSin,Perkz,Gragas,Upset,Lucian,Kaiser,Nami,Adam,Malphite,Sheo,Elise,nuc,Azir,Crownie,Zeri,Labrov,Lulu
2023,Spring,Week 3,⁠⁠FNC,⁠⁠MAD,⁠⁠FNC,13.4,Gragas,Rakan,Annie,Jayce,AurelionSol,Xayah,Vi,Viktor,Jax,Renekton,Oscarinin,Olaf,Razork,Sejuani,Humanoid,Azir,Rekkles,Jinx,Advienne,Braum,Chasy,Gnar,Elyoya,LeeSin,Nisqy,Sylas,Carzzy,Kaisa,Hylissang,Nautilus
2023,Spring,Week 3,⁠⁠SK,⁠⁠G2,⁠⁠G2,13.4,Gragas,Varus,Draven,MissFortune,Samira,Annie,Xayah,Vi,Renekton,Jax,Irrelevant,Sion,Markoon,Elise,Sertuss,Akali,Exakick,Lucian,Doss,Nami,BrokenBlade,Chogath,Yike,Maokai,Caps,Jayce,Hans,Kalista,Mikyx,Nautilus
2023,Spring,Week 3,⁠⁠AST,⁠⁠XL,⁠⁠XL,13.4,Sejuani,Elise,Rakan,Leona,Gwen,Draven,Xayah,Annie,Sivir,Caitlyn,Odoamne,KSante,Xerxe,Maokai,Abbedagge,Jayce,Patrik,Jhin,LIMIT,Heimerdinger,Finn,Jax,113,Viego,LIDER,Irelia,Kobbe,Varus,JeongHoon,Ashe
2023,Spring,Week 3,⁠⁠SK,⁠⁠MAD,⁠⁠SK,13.4,Caitlyn,Elise,Draven,Malphite,Soraka,Gragas,Annie,Rakan,Nautilus,Rell,Chasy,Kennen,Elyoya,LeeSin,Nisqy,Lissandra,Carzzy,Xayah,Hylissang,Pyke,Irrelevant,Sion,Markoon,Vi,Sertuss,Sylas,Exakick,Zeri,Doss,Lulu
2023,Spring,Week 3,⁠⁠BDS,⁠⁠KOI,⁠⁠KOI,13.4,Blitzcrank,Xayah,Olaf,Darius,Sylas,Annie,Caitlyn,Gnar,TwistedFate,Jayce,Szygenda,Renekton,Malrang,Vi,Larssen,Corki,Comp,Varus,Trymbi,Ashe,Adam,Malphite,Sheo,Sejuani,nuc,Azir,Crownie,Zeri,Labrov,Nautilus
2023,Spring,Week 3,⁠⁠VIT,⁠⁠TH,⁠⁠VIT,13.4,Draven,Rakan,Vi,KSante,Cassiopeia,Caitlyn,Annie,Jayce,Gragas,Azir,Photon,Malphite,Bo,MonkeyKing,Perkz,Sylas,Upset,Zeri,Kaiser,Lulu,Evi,Jax,Jankos,Sejuani,Ruby,Leblanc,Jackspektra,Jinx,Mersa,Nautilus
2023,Spring,Week 3,⁠⁠FNC,⁠⁠G2,⁠⁠G2,13.4,Nautilus,Jayce,Caitlyn,Leblanc,Olaf,Draven,Annie,Xayah,Taliyah,AurelionSol,BrokenBlade,KSante,Yike,Vi,Caps,Sylas,Hans,Zeri,Mikyx,Renata,Oscarinin,Jax,Razork,MonkeyKing,Humanoid,Azir,Rekkles,Sivir,Advienne,Rakan
2023,Spring,Week 3,⁠⁠BDS,⁠⁠XL,⁠⁠BDS,13.4,Draven,Maokai,Xayah,Gnar,Jax,Annie,Caitlyn,Lulu,Ashe,Darius,Adam,Sett,Sheo,MonkeyKing,nuc,Azir,Crownie,Varus,Labrov,Renata,Odoamne,Olaf,Xerxe,Sejuani,Abbedagge,Gragas,Patrik,Zeri,LIMIT,Rakan
2023,Spring,Week 3,⁠⁠FNC,⁠⁠AST,⁠⁠FNC,13.4,MonkeyKing,Vi,LeeSin,Gangplank,Nautilus,Annie,Elise,Rakan,Braum,Leona,Finn,Jax,113,Maokai,LIDER,Zed,Kobbe,Xayah,JeongHoon,Blitzcrank,Oscarinin,Jayce,Razork,Sejuani,Humanoid,Leblanc,Rekkles,Jinx,Advienne,Thresh
2023,Spring,Week 3,⁠⁠SK,⁠⁠TH,⁠⁠SK,13.4,Elise,Sejuani,Annie,Ashe,Renata,Draven,Zeri,Rakan,Gragas,Kennen,Evi,KSante,Jankos,Vi,Ruby,Ahri,Jackspektra,Xayah,Mersa,Nautilus,Irrelevant,Jax,Markoon,Maokai,Sertuss,Azir,Exakick,Varus,Doss,Braum
2023,Spring,Week 3,⁠⁠MAD,⁠⁠G2,⁠⁠G2,13.4,Draven,Maokai,Gragas,Malphite,Lissandra,Annie,Rakan,Xayah,Pyke,Rell,Chasy,Jayce,Elyoya,Vi,Nisqy,Ahri,Carzzy,Varus,Hylissang,Heimerdinger,BrokenBlade,Olaf,Yike,Viego,Caps,Sylas,Hans,Sivir,Mikyx,Ashe
2023,Spring,Week 3,⁠⁠VIT,⁠⁠KOI,⁠⁠KOI,13.4,Malphite,Gragas,Varus,Elise,Leblanc,Rakan,Annie,Caitlyn,Azir,TwistedFate,Szygenda,KSante,Malrang,XinZhao,Larssen,Orianna,Comp,Xayah,Trymbi,Nautilus,Photon,Jayce,Bo,Sejuani,Perkz,AurelionSol,Upset,Zeri,Kaiser,Braum
2023,Spring,Tiebreakers,⁠⁠MAD,⁠⁠TH,⁠⁠TH,13.4,Gragas,Sejuani,Jayce,Gnar,Jax,Draven,Vi,Annie,Ahri,Gwen,Evi,Renekton,Jankos,MonkeyKing,Ruby,Taliyah,Jackspektra,Xayah,Mersa,Nautilus,Chasy,KSante,Elyoya,Maokai,Nisqy,Azir,Carzzy,Zeri,Hylissang,Rakan
