Season,Split,Week,Blue,Red,WinnerT,Patch,BB1,BB2,BB3,BB4,BB5,RB1,RB2,RB3,RB4,RB5,BPPlayer1,BP1,BPPlayer2,BP2,BPPlayer3,BP3,BPPlayer4,BP4,BPPlayer5,BP5,RPPlayer1,RP1,RPPlayer2,RP2,RPPlayer3,RP3,RPPlayer4,RP4,RPPlayer5,RP5
2022,Summer,Week 8,⁠⁠IMT,⁠⁠C9,⁠⁠C9,12.14,Olaf,Yuumi,Gwen,Leblanc,Ornn,Seraphine,Kalista,Azir,Fiora,Orianna,Revenge,Aatrox,Kenvi,Poppy,PowerOfEvil,Ahri,Lost,Draven,IgNar,Nautilus,Fudge,Sejuani,Blaber,Trundle,Jensen,Taliyah,Berserker,Sivir,Zven,Lulu
2022,Summer,Week 8,⁠⁠CLG,⁠⁠100,⁠⁠CLG,12.14,Yone,Gwen,Kalista,Poppy,Trundle,Nautilus,Leblanc,Ahri,Alistar,Sejuani,Ssumday,Aatrox,Closer,MonkeyKing,Abbedagge,Seraphine,FBI,Aphelios,huhi,Leona,Dhokla,Ornn,Contractz,JarvanIV,Palafox,Azir,Luger,Sivir,Poome,Lulu
2022,Summer,Week 8,⁠⁠TL,⁠⁠GG,⁠⁠GG,12.14,Leblanc,Trundle,MonkeyKing,Singed,Alistar,Yuumi,Poppy,Azir,JarvanIV,Vi,Licorice,Ornn,River,LeeSin,Ablazeolive,Ahri,Stixxay,Kalista,Olleh,Nautilus,Bwipo,Gwen,Santorin,Viego,Bjergsen,Taliyah,Hans,Draven,CoreJJ,Amumu
2022,Summer,Week 8,⁠⁠TSM,⁠⁠C9,⁠⁠TSM,12.14,Azir,Ornn,MonkeyKing,Sejuani,XinZhao,Kalista,Yuumi,Leblanc,Orianna,Ahri,Fudge,Gwen,Blaber,Poppy,Jensen,Anivia,Berserker,Draven,Zven,Alistar,Solo,Renekton,Spica,Olaf,Maple,Taliyah,Instinct,Sivir,Chime,Braum
2022,Summer,Week 8,⁠⁠IMT,⁠⁠FLY,⁠⁠IMT,12.14,Kalista,Azir,Poppy,Lissandra,Ornn,Yuumi,Taliyah,Sivir,LeeSin,Gwen,Philip,Aatrox,Josedeodo,Vi,toucouille,Leblanc,Johnsun,Lucian,aphromoo,Nami,Revenge,Sejuani,Kenvi,MonkeyKing,PowerOfEvil,Ahri,Lost,Aphelios,IgNar,Lulu
2022,Summer,Week 8,⁠⁠EG,⁠⁠DIG,⁠⁠EG,12.14,Kalista,Azir,Ornn,XinZhao,Viego,Poppy,Gwen,Trundle,Mordekaiser,Leblanc,Impact,Jax,Inspired,MonkeyKing,jojopyun,Ahri,Danny,Zeri,Vulcan,Yuumi,Hoon,Sejuani,eXyu,Vi,Blue,Lissandra,Spawn,Sivir,Biofrost,Lulu
2022,Summer,Week 8,⁠⁠IMT,⁠⁠CLG,⁠⁠IMT,12.14,Seraphine,Azir,Poppy,Orianna,Ornn,Yuumi,Taliyah,Kalista,Leblanc,Gwen,Dhokla,Yone,Contractz,MonkeyKing,Palafox,Akali,Luger,Zeri,Poome,Lulu,Revenge,Fiora,Kenvi,Trundle,PowerOfEvil,Viktor,Lost,Sivir,IgNar,Karma
2022,Summer,Week 8,⁠⁠EG,⁠⁠C9,⁠⁠EG,12.14,Kalista,Draven,Poppy,JarvanIV,Kayle,MonkeyKing,Zeri,Senna,Gwen,LeeSin,Impact,Ornn,Inspired,Vi,jojopyun,Ahri,Danny,Sivir,Vulcan,Lulu,Fudge,Sejuani,Blaber,Viego,Jensen,Leblanc,Berserker,Twitch,Zven,Yuumi
2022,Summer,Week 8,⁠⁠TSM,⁠⁠FLY,⁠⁠FLY,12.14,Lucian,Leblanc,Poppy,Vi,MonkeyKing,Ornn,Kalista,Renekton,JarvanIV,Trundle,Solo,Sejuani,Spica,RekSai,Maple,Azir,Instinct,Zeri,Chime,Lulu,Philip,Gwen,Josedeodo,LeeSin,toucouille,Ahri,Johnsun,Sivir,aphromoo,Yuumi
2022,Summer,Week 8,⁠⁠TL,⁠⁠100,⁠⁠100,12.14,Yuumi,Ahri,Aphelios,Ornn,Fiora,Kalista,Trundle,Draven,Olaf,Gangplank,Bwipo,Aatrox,Santorin,Skarner,Bjergsen,Azir,Hans,Sivir,CoreJJ,Amumu,Ssumday,Gwen,Closer,MonkeyKing,Abbedagge,Taliyah,FBI,Senna,huhi,Seraphine
2022,Summer,Week 8,⁠⁠GG,⁠⁠DIG,⁠⁠DIG,12.14,Seraphine,Kalista,Trundle,Leblanc,JarvanIV,Azir,Yuumi,Poppy,Zeri,Twitch,Hoon,Gwen,eXyu,MonkeyKing,Blue,Ahri,Spawn,Aphelios,Biofrost,Alistar,Licorice,Jax,River,Viego,Ablazeolive,Lissandra,Stixxay,Sivir,Olleh,Lulu
2022,Summer,Tiebreakers,⁠⁠C9,⁠⁠FLY,⁠⁠C9,12.14,Leblanc,Azir,Vi,Jax,MonkeyKing,Kalista,Poppy,Olaf,Orianna,Lissandra,Fudge,Gwen,Blaber,XinZhao,Jensen,Zilean,Berserker,Sivir,Zven,Yuumi,Philip,Kennen,Josedeodo,JarvanIV,toucouille,Ahri,Johnsun,Twitch,aphromoo,Lulu
